#SampleID	faith_pd
cbt11	4.462856431781398
cbT11	4.551058163700553
cBt11	5.355678213773858
cBT11	6.742840437796756
cbt12	3.731935856766686
cbT12	4.640452100964062
cBt12	4.500254994954425
cBT12	2.983033958666625
cbt13	4.03654765720958
cbT13	5.211380762830467
cBt13	5.086573944874438
cBT13	2.864926307783671
cbt21	5.505261044636109
cbT21	6.28395377695851
cBt21	6.698075624493805
cBT21	4.171001145746843
cbt22	4.664639592428649
cbT22	3.563294297742494
cBt22	4.3391529711621
cBT22	4.721777674448067
cbt23	3.263583306923314
cBt23	5.987660326599748
cBT23	3.282304954353177
cbt31	4.801806650015713
cbT31	4.982658849651589
cBt31	4.744840666564647
cBT31	6.554665114390724
cbt32	5.230131845249733
cbT32	5.726447113654146
cBt32	4.138987568054584
cBT32	5.547936378720344
cbt33	5.847989559348841
cbT33	5.876947778171683
cBT33	7.058925670195077
fctrl	4.442935031609181
vbt11	4.234506810239823
vbT11	4.975759362242551
vBt11	4.7961594299456
vBT11	6.767967537759308
vbt12	6.198771676511193
vbT12	5.81924038736763
vBt12	4.45712449622973
vBT12	4.879105798386011
vbt13	5.959080713722468
vbT13	5.779951562681248
vBt13	7.016550384669801
vBT13	5.042948090201651
vbt21	5.104457250318921
vbT21	4.762411981861353
vBt21	4.018857271333532
vBT21	3.568454065552749
vbt22	5.967893202407371
vbT22	6.630245649156468
vBt22	3.852030284958978
vBT22	5.359031739330762
vbt23	3.388842317468323
vbT23	6.034230746804729
vBt23	6.307015565746765
vBT23	2.897650171808233
vbt31	3.202840724668484
vbT31	5.153733380083585
vBt31	6.178264626757652
vBT31	3.740197368259158
vbt32	3.285839805548695
vBt32	5.53897236074882
vBT32	4.298996377619087
vbt33	6.958807162764126
vbT33	5.252981400092255
vBt33	5.243570828619424
vBT33	5.016052231155744
