	chao1
cBT31	42.0
cbt33	52.0
fctrl	25.0
gsr01	73.0
gsr02	80.0
gsr03	27.0
gsr04	51.0
gsr05	68.0
gsr06	53.0
gsr07	62.0
gsr08	78.0
gsr09	38.0
gsr10	72.0
gsr11	18.0
gsr12	15.0
gsr13	81.0
gsr14	63.0
gsr15	27.0
gsr16	68.0
gsr17	50.0
mbt31	22.0
mbT31	41.0
mbt32	46.0
mbT32	64.0
mbt33	20.0
mbT33	47.0
vbt31	20.0
vbT31	16.0
vBt31	49.0
vbt32	29.0
vbT32	20.0
vBT32	34.0
vbt33	61.0
vbT33	21.0
vBt33	22.0
