sample-id	absolute_filepath	direction	col_id	sample_seq_id	treatment	berry-status	treat_one	treat_two	variety	period	replicate	col_date	seq_date	index1_i7	index2_i5	project_name	plate	conc	norm	pool	country	state	county	locality	property	owner	lat	lon
gsr15	/home/jblaise/scratch/gsr_raw_data/fastqs/its/gsr15_S123_L001_R1_001.fastq.gz	forward	vbt31	16s111	bt	Infected	NNet	NMax	vidalblanc	4	1	10/7/2022	6/26/2023	N703	S503	GP22_GSR	2	383.4	383.4	4.2	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
gsr16	/home/jblaise/scratch/gsr_raw_data/fastqs/its/gsr16_S126_L001_R1_001.fastq.gz	forward	vbt32	16s112	bt	Infected	NNet	NMax	vidalblanc	4	2	10/7/2022	6/26/2023	N704	S503	GP22_GSR	2	371.7	371.7	4.3	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
gsr17	/home/jblaise/scratch/gsr_raw_data/fastqs/its/gsr17_S129_L001_R1_001.fastq.gz	forward	vbt33	16s113	bt	Infected	NNet	NMax	vidalblanc	4	3	10/7/2022	6/26/2023	N705	S503	GP22_GSR	2	397.7	397.7	4.1	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
mbT31	/home/jblaise/scratch/gsr_raw_data/fastqs/its/mbT31_S54_L001_R1_001.fastq.gz	forward	mbT31	16s67	bT	healthy	NNet	MMax	merlot	3	1	9/27/2022	6/26/2023	N723	S508	GP22_GSR	1	432.2	432.2	3.7	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
mbt31	/home/jblaise/scratch/gsr_raw_data/fastqs/its/mbt31_S78_L001_R1_001.fastq.gz	forward	mbt31	16s70	bt	healthy	NNet	NMax	merlot	3	1	9/27/2022	6/26/2023	N727	S508	GP22_GSR	1	423	423	3.8	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
mbT32	/home/jblaise/scratch/gsr_raw_data/fastqs/its/mbT32_S62_L001_R1_001.fastq.gz	forward	mbT32	16s68	bT	healthy	NNet	MMax	merlot	3	2	9/27/2022	6/26/2023	N724	S508	GP22_GSR	1	399.1	399.1	4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
mbt32	/home/jblaise/scratch/gsr_raw_data/fastqs/its/mbt32_S86_L001_R1_001.fastq.gz	forward	mbt32	16s71	bt	healthy	NNet	NMax	merlot	3	2	9/27/2022	6/26/2023	N728	S508	GP22_GSR	1	473.8	473.8	3.4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
mbT33	/home/jblaise/scratch/gsr_raw_data/fastqs/its/mbT33_S70_L001_R1_001.fastq.gz	forward	mbT33	16s69	bT	healthy	NNet	MMax	merlot	3	3	9/27/2022	6/26/2023	N726	S508	GP22_GSR	1	385.4	385.4	4.2	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
mbt33	/home/jblaise/scratch/gsr_raw_data/fastqs/its/mbt33_S94_L001_R1_001.fastq.gz	forward	mbt33	16s72	bt	healthy	NNet	NMax	merlot	3	3	9/27/2022	6/26/2023	N729	S508	GP22_GSR	1	483.9	483.9	3.3	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbT31	/home/jblaise/scratch/gsr_raw_data/fastqs/its/vbT31_S32_L001_R1_001.fastq.gz	forward	vbT31	16s88	bT	healthy	NNet	MMax	vidalblanc	3	1	10/7/2022	6/26/2023	N720	S511	GP22_GSR	1	438.1	438.1	3.7	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vBt31	/home/jblaise/scratch/gsr_raw_data/fastqs/its/vBt31_S56_L001_R1_001.fastq.gz	forward	vBt31	16s91	Bt	healthy	Net	NMax	vidalblanc	3	1	10/7/2022	6/26/2023	N723	S511	GP22_GSR	1	425.1	425.1	3.8	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbt31	/home/jblaise/scratch/gsr_raw_data/fastqs/its/vbt31_S80_L001_R1_001.fastq.gz	forward	vbt31	16s94	bt	healthy	NNet	NMax	vidalblanc	3	1	10/7/2022	6/26/2023	N727	S511	GP22_GSR	1	464.4	464.4	3.5	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vBT32	/home/jblaise/scratch/gsr_raw_data/fastqs/its/vBT32_S16_L001_R1_001.fastq.gz	forward	vBT32	16s86	BT	healthy	Net	MMax	vidalblanc	3	2	10/7/2022	6/26/2023	N718	S511	GP22_GSR	1	493.8	493.8	3.3	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbT32	/home/jblaise/scratch/gsr_raw_data/fastqs/its/vbT32_S40_L001_R1_001.fastq.gz	forward	vbT32	16s89	bT	healthy	NNet	MMax	vidalblanc	3	2	10/7/2022	6/26/2023	N721	S511	GP22_GSR	1	422.9	422.9	3.8	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbt32	/home/jblaise/scratch/gsr_raw_data/fastqs/its/vbt32_S88_L001_R1_001.fastq.gz	forward	vbt32	16s95	bt	healthy	NNet	NMax	vidalblanc	3	2	10/7/2022	6/26/2023	N728	S511	GP22_GSR	1	457.8	457.8	3.5	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbT33	/home/jblaise/scratch/gsr_raw_data/fastqs/its/vbT33_S48_L001_R1_001.fastq.gz	forward	vbT33	16s90	bT	healthy	NNet	MMax	vidalblanc	3	3	10/7/2022	6/26/2023	N722	S511	GP22_GSR	1	440.8	440.8	3.7	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vBt33	/home/jblaise/scratch/gsr_raw_data/fastqs/its/vBt33_S72_L001_R1_001.fastq.gz	forward	vBt33	16s93	Bt	healthy	Net	NMax	vidalblanc	3	3	10/7/2022	6/26/2023	N726	S511	GP22_GSR	1	434.3	434.3	3.7	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbt33	/home/jblaise/scratch/gsr_raw_data/fastqs/its/vbt33_S96_L001_R1_001.fastq.gz	forward	vbt33	16s96	bt	healthy	NNet	NMax	vidalblanc	3	3	10/7/2022	6/26/2023	N729	S511	GP22_GSR	1	646.5	646.5	2.5	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
