	observed_features
gsr01	93
gsr07	64
gsr09	97
mbT33	56
mbt33	53
mbT31	51
gsr16	70
gsr04	90
gsr08	86
vbT33	46
mbT32	67
vbt31	42
gsr17	90
vbT31	87
vBt33	54
gsr11	69
gsr06	91
gsr03	61
gsr10	85
gsr14	78
gsr12	76
vBt31	50
gsr13	81
gsr15	66
mbt31	79
gsr05	82
gsr02	95
mbt32	78
