#SampleID	faith_pd
cBT31	7.90188832943388
cbt33	7.218996713558037
gsr01	6.32866819914446
gsr02	10.9374741466059
gsr03	5.226504481862064
gsr04	8.067331801683245
gsr05	9.894732343472501
gsr06	7.323831133354065
gsr07	8.081935871617052
gsr08	12.30151124510532
gsr09	6.915107043078465
gsr10	8.112189845651702
gsr11	6.410838193566778
gsr12	4.380083996126895
gsr13	8.43689895387006
gsr14	8.690595066703914
gsr15	8.068517447785634
gsr16	9.02887154185175
gsr17	8.549882905653902
mbt31	4.843521640426014
mbT31	5.155449113380707
mbt32	7.119806558754154
mbT32	8.358820696688401
mbT33	6.807653607716339
vBt31	6.71449160143072
vbt32	6.277875056560862
vBT32	5.443897041607098
vbt33	8.166620604319284
