sample-id	absolute_filepath	direction	col_id	sample_seq_id	treatment	berry_status	treat_one	treat_two	variety	period	replicate	col_date	seq_date	index1_i7	index2_i5	project_name	plate	conc	norm	pool	country	state	county	locality	property	owner	lat	lon
mbt31	/home/jblaise/scratch/gsr_raw_data/fastqs/its/mbt31_S78_L001_R1_001.fastq.gz	forward	mbt31	its70	bt	healthy	NNet	NMax	merlot	3	1	9/27/2022	6/14/2023	N712	S508	GP22_GSR	1	483.4	483.4	4.3	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
mbT32	/home/jblaise/scratch/gsr_raw_data/fastqs/its/mbT32_S62_L001_R1_001.fastq.gz	forward	mbT32	its68	bT	healthy	NNet	MMax	merlot	3	2	9/27/2022	6/14/2023	N710	S508	GP22_GSR	1	492.7	492.7	4.3	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
mbt32	/home/jblaise/scratch/gsr_raw_data/fastqs/its/mbt32_S86_L001_R1_001.fastq.gz	forward	mbt32	its71	bt	healthy	NNet	NMax	merlot	3	2	9/27/2022	6/14/2023	N714	S508	GP22_GSR	1	573.2	573.2	3.7	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
mbT33	/home/jblaise/scratch/gsr_raw_data/fastqs/its/mbT33_S70_L001_R1_001.fastq.gz	forward	mbT33	its69	bT	healthy	NNet	MMax	merlot	3	3	9/27/2022	6/14/2023	N711	S508	GP22_GSR	1	489.5	489.5	4.3	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
mbt33	/home/jblaise/scratch/gsr_raw_data/fastqs/its/mbt33_S94_L001_R1_001.fastq.gz	forward	mbt33	its72	bt	healthy	NNet	NMax	merlot	3	3	9/27/2022	6/14/2023	N715	S508	GP22_GSR	1	713.9	416	5	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbT31	/home/jblaise/scratch/gsr_raw_data/fastqs/its/vbT31_S32_L001_R1_001.fastq.gz	forward	vbT31	its88	bT	healthy	NNet	MMax	vidalblanc	3	1	10/7/2022	6/14/2023	N704	S511	GP22_GSR	1	1180.4	472	4.4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vBt31	/home/jblaise/scratch/gsr_raw_data/fastqs/its/vBt31_S56_L001_R1_001.fastq.gz	forward	vBt31	its91	Bt	healthy	Net	MMax	vidalblanc	3	1	10/7/2022	6/14/2023	N707	S511	GP22_GSR	1	1004.2	480	4.4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbt31	/home/jblaise/scratch/gsr_raw_data/fastqs/its/vbt31_S80_L001_R1_001.fastq.gz	forward	vbt31	its94	bt	healthy	NNet	NMax	vidalblanc	3	1	10/7/2022	6/14/2023	N712	S511	GP22_GSR	1	1239.9	552	3.8	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vBT32	/home/jblaise/scratch/gsr_raw_data/fastqs/its/vBT32_S16_L001_R1_001.fastq.gz	forward	vBT32	its86	BT	healthy	Net	MMax	vidalblanc	3	2	10/7/2022	6/14/2023	N702	S511	GP22_GSR	1	1231.9	536	3.9	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbT32	/home/jblaise/scratch/gsr_raw_data/fastqs/its/vbT32_S40_L001_R1_001.fastq.gz	forward	vbT32	its89	bT	healthy	NNet	MMax	vidalblanc	3	2	10/7/2022	6/14/2023	N705	S511	GP22_GSR	1	1217	538	3.9	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbt32	/home/jblaise/scratch/gsr_raw_data/fastqs/its/vbt32_S88_L001_R1_001.fastq.gz	forward	vbt32	its95	bt	healthy	NNet	NMax	vidalblanc	3	2	10/7/2022	6/14/2023	N714	S511	GP22_GSR	1	1305.9	526	4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbT33	/home/jblaise/scratch/gsr_raw_data/fastqs/its/vbT33_S48_L001_R1_001.fastq.gz	forward	vbT33	its90	bT	healthy	NNet	MMax	vidalblanc	3	3	10/7/2022	6/14/2023	N706	S511	GP22_GSR	1	1143.4	528	4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vBt33	/home/jblaise/scratch/gsr_raw_data/fastqs/its/vBt33_S72_L001_R1_001.fastq.gz	forward	vBt33	its93	Bt	healthy	Net	MMax	vidalblanc	3	3	10/7/2022	6/14/2023	N711	S511	GP22_GSR	1	1091.7	460	4.6	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbt33	/home/jblaise/scratch/gsr_raw_data/fastqs/its/vbt33_S96_L001_R1_001.fastq.gz	forward	vbt33	its96	bt	healthy	NNet	NMax	vidalblanc	3	3	10/7/2022	6/14/2023	N715	S511	GP22_GSR	1	1259.7	519	4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
