	observed_features
cBT31	40
cbt33	50
gsr01	58
gsr02	68
gsr03	26
gsr04	41
gsr05	60
gsr06	47
gsr07	52
gsr08	67
gsr09	28
gsr10	57
gsr11	18
gsr12	14
gsr13	62
gsr14	47
gsr15	27
gsr16	51
gsr17	42
mbt31	22
mbT31	33
mbt32	44
mbT32	63
mbT33	47
vBt31	46
vbt32	29
vBT32	32
vbt33	61
