	observed_features
gsr01	78
gsr07	46
gsr09	80
mbT33	45
vBT32	44
mbt33	46
mbT31	46
gsr16	50
gsr04	75
gsr08	56
vbT33	40
mbT32	51
vbt31	37
gsr17	66
vbT31	71
vBt33	45
gsr11	56
gsr06	70
gsr03	48
cBT31	46
gsr10	58
gsr14	62
gsr12	64
vBt31	44
gsr13	67
vbT32	45
gsr15	54
mbt31	57
gsr05	65
gsr02	57
mbt32	58
cbt33	62
