#SampleID	faith_pd
gsr01	3.560607626487979
gsr07	3.307243835225496
gsr09	4.876437739602581
mbT33	2.934821393572427
mbt33	2.594671423227036
mbT31	2.767637210533793
gsr16	3.105794543233881
gsr04	3.703737066966036
gsr08	4.053307276020814
vbT33	2.272308025625067
mbT32	3.111404922277063
vbt31	1.938640091693782
gsr17	4.408311881915425
vbT31	3.63734470962868
vBt33	3.195734128825404
gsr11	3.645061263952914
gsr06	4.554359155103517
gsr03	3.859332229720227
gsr10	3.878342808813292
gsr14	3.63690607452852
gsr12	3.725476733036797
vBt31	2.080485686511161
gsr13	3.972509219634235
gsr15	3.158655239256676
mbt31	3.663374534993337
gsr05	3.859561010753948
gsr02	4.573378420747593
mbt32	4.177207748504111
