#SampleID	faith_pd
cBT31	4.267259646313947
cbt33	4.726709604857625
fctrl	6.324889291226418
gsr01	5.49694480120721
gsr02	6.824331230681118
gsr03	3.847519907917702
gsr04	3.500297255753028
gsr05	7.873935111198394
gsr06	5.154342982681978
gsr07	4.562293689209515
gsr08	8.140080324521943
gsr09	4.345384326052729
gsr10	5.633660848928546
gsr11	4.056083068594274
gsr12	2.750062532350096
gsr13	6.16335283738964
gsr14	4.603384823372622
gsr15	3.618898370984928
gsr16	7.222831400207703
gsr17	6.353283002132018
mbt31	5.766615817090074
mbT31	3.530062588884435
mbt32	4.228625559513938
mbT32	4.219393489146629
mbt33	3.821169608077575
mbT33	4.271010935123716
vbt31	3.198018098827431
vbT31	4.138350858298759
vBt31	4.424288067934569
vbt32	4.36202741219596
vBT32	4.181222320056188
vbt33	6.376183024774713
vBt33	4.720974638382442
