#SampleID	faith_pd
gsr01	3.416150330652734
gsr07	3.124281177276313
gsr09	4.287602626496829
mbT33	2.817443697847707
vBT32	2.965505440206806
mbt33	2.50035828033044
mbT31	2.669845810971603
gsr16	2.429240376366492
gsr04	3.520332336703215
gsr08	3.337752396065845
vbT33	2.247829168913485
mbT32	2.484475316510363
vbt31	1.872400920918426
gsr17	4.125150130711303
vbT31	3.479379789120767
vBt33	2.654158901261091
gsr11	3.350914578885726
gsr06	4.176194565100323
gsr03	3.682522101311847
cBT31	2.827373806027869
gsr10	3.321556591282363
gsr14	3.346791117578608
gsr12	3.573240994316363
vBt31	1.799621447284679
gsr13	3.824604323275915
vbT32	2.976178020717902
gsr15	3.024750362338845
mbt31	3.261814665267971
gsr05	3.880509314795256
gsr02	3.464322008037626
mbt32	3.788860645379275
cbt33	3.571540476607749
