	observed_features
cBT31	20
cbt33	22
fctrl	25
gsr01	45
gsr02	40
gsr03	16
gsr04	27
gsr05	48
gsr06	34
gsr07	34
gsr08	44
gsr09	21
gsr10	36
gsr11	15
gsr12	10
gsr13	49
gsr14	25
gsr15	16
gsr16	33
gsr17	25
mbt31	28
mbT31	13
mbt32	18
mbT32	13
mbt33	14
mbT33	18
vbt31	10
vbT31	20
vBt31	22
vbt32	16
vBT32	17
vbt33	46
vBt33	21
