#SampleID	faith_pd
cBT33	3.357266113263034
cbt32	3.093232758540303
vBt31	2.019551273432412
cbT32	3.514776747323148
vBt33	3.137461013580471
cBt32	2.734381520498613
vbT32	2.742716055497829
vBt32	2.211790925645968
vBT31	3.064579178036879
vBT33	3.589576461643337
cbt33	3.695321634330209
vBT32	3.181747017004769
vbT33	2.334337011396114
cbT31	3.373901231901599
vbT31	3.378198541900672
cBt33	2.278756304368025
cbT33	3.708549585368058
cbt31	2.711894255423323
cBt31	3.271297265559907
cBT32	2.722943813878752
vbt31	1.880977881327282
cBT31	2.594373277104135
