	pielou_evenness
cbt31	0.3100157512697038
cbT31	0.5815532572341661
cBt31	0.6418015915462064
cBT31	0.5762543094813904
cbt32	0.4685948683892449
cbT32	0.6124736610522722
cBt32	0.623714027442037
cBT32	0.6858730054430124
cbt33	0.6811231173050012
cbT33	0.6545102371915014
cBt33	0.6562811330468724
cBT33	0.664342044983647
fctrl	0.7367240290164132
vbt31	0.4224652299192823
vbT31	0.7317322652152147
vBt31	0.7115667522098921
vbt32	0.6542212981851983
vbT32	0.664335094706876
vBt32	0.696118346069771
vBT32	0.7673995103093257
vbt33	0.6536046226393403
vbT33	0.6059783146641657
vBt33	0.6270471045125146
vBT33	0.5807004199391039
