#SampleID	faith_pd
cbt31	5.724882980571357
cbT31	6.177443066452303
cBt31	5.140712862511684
cBT31	3.581144730399139
cbt32	5.238429806063502
cbT32	6.458641380832534
cBt32	6.611050025463198
cBT32	4.243244022386152
cbt33	5.201762315802764
cbT33	2.628723674696925
cBt33	6.390441947913498
cBT33	5.075210532973136
fctrl	5.286900747743509
vbt31	4.065647687593936
vbT31	5.148952864019442
vBt31	6.234183100195729
vbt32	6.073943735373641
vbT32	5.5385513137208
vBt32	6.108930482537797
vBT32	5.220833201000087
vbt33	7.632587988481191
vbT33	4.964096733255232
vBt33	5.502737636817615
vBT33	5.543863295494035
